PassengerId,Pclass,Age,estAge,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
436,1,14.0,0,1,2,120.0,1,0,0,0,1
578,1,39.0,0,1,0,55.9,1,0,0,0,1
716,3,19.0,0,0,0,7.65,0,1,0,0,1
19,3,31.0,0,1,0,18.0,1,0,0,0,1
199,3,28.0,0,0,0,7.75,1,0,0,1,0
223,3,51.0,0,0,0,8.05,0,1,0,0,1
846,3,42.0,0,0,0,7.55,0,1,0,0,1
730,3,25.0,0,1,0,7.925,1,0,0,0,1
435,1,50.0,0,1,0,55.9,0,1,0,0,1
425,3,18.0,0,1,1,20.2125,0,1,0,0,1
155,3,28.0,0,0,0,7.3125,0,1,0,0,1
302,3,28.0,0,2,0,23.25,0,1,0,1,0
719,3,28.0,0,0,0,15.5,0,1,0,1,0
217,3,27.0,0,0,0,7.925,1,0,0,0,1
756,2,0.67,0,1,1,14.5,0,1,0,0,1
598,3,49.0,0,0,0,0.0,0,1,0,0,1
58,3,28.0,1,0,0,7.2292,0,1,1,0,0
208,3,26.0,0,0,0,18.7875,0,1,1,0,0
372,3,18.0,0,1,0,6.4958,0,1,0,0,1
759,3,34.0,0,0,0,8.05,0,1,0,0,1
712,1,28.0,0,0,0,26.55,0,1,0,0,1
635,3,9.0,0,3,2,27.9,1,0,0,0,1
405,3,20.0,0,0,0,8.6625,1,0,0,0,1
550,2,8.0,0,1,1,36.75,0,1,0,0,1
517,2,34.0,0,0,0,10.5,1,0,0,0,1
95,3,59.0,0,0,0,7.25,0,1,0,0,1
701,1,18.0,0,1,0,227.525,1,0,1,0,0
131,3,33.0,0,0,0,7.8958,0,1,1,0,0
462,3,34.0,0,0,0,8.05,0,1,0,0,1
714,3,29.0,0,0,0,9.4833,0,1,0,0,1
83,3,28.0,0,0,0,7.7875,1,0,0,1,0
191,2,32.0,0,0,0,13.0,1,0,0,0,1
471,3,28.0,0,0,0,7.25,0,1,0,0,1
215,3,28.0,0,1,0,7.75,0,1,0,1,0
883,3,22.0,0,0,0,10.5167,1,0,0,0,1
809,2,39.0,0,0,0,13.0,0,1,0,0,1
342,1,24.0,0,3,2,263.0,1,0,0,0,1
782,1,17.0,0,1,0,57.0,1,0,0,0,1
499,1,25.0,0,1,2,151.55,1,0,0,0,1
533,3,17.0,0,1,1,7.2292,0,1,1,0,0
473,2,33.0,0,1,2,27.75,1,0,0,0,1
133,3,47.0,0,1,0,14.5,1,0,0,0,1
305,3,28.0,0,0,0,8.05,0,1,0,0,1
78,3,28.0,0,0,0,8.05,0,1,0,0,1
318,2,54.0,0,0,0,14.0,0,1,0,0,1
282,3,28.0,0,0,0,7.8542,0,1,0,0,1
169,1,28.0,0,0,0,25.925,0,1,0,0,1
806,3,31.0,0,0,0,7.775,0,1,0,0,1
567,3,19.0,0,0,0,7.8958,0,1,0,0,1
156,1,51.0,0,0,1,61.3792,0,1,1,0,0
136,2,23.0,0,0,0,15.0458,0,1,1,0,0
804,3,0.42,0,0,1,8.5167,0,1,1,0,0
87,3,16.0,0,1,3,34.375,0,1,0,0,1
382,3,1.0,0,0,2,15.7417,1,0,1,0,0
688,3,19.0,0,0,0,10.1708,0,1,0,0,1
825,3,2.0,0,4,1,39.6875,0,1,0,0,1
772,3,48.0,0,0,0,7.8542,0,1,0,0,1
536,2,7.0,0,0,2,26.25,1,0,0,0,1
319,1,31.0,0,0,2,164.8667,1,0,0,0,1
737,3,48.0,0,1,3,34.375,1,0,0,0,1
427,2,28.0,0,1,0,26.0,1,0,0,0,1
662,3,40.0,0,0,0,7.225,0,1,1,0,0
703,3,18.0,0,0,1,14.4542,1,0,1,0,0
307,1,28.0,0,0,0,110.8833,1,0,1,0,0
249,1,37.0,0,1,1,52.5542,0,1,0,0,1
13,3,20.0,0,0,0,8.05,0,1,0,0,1
168,3,45.0,0,1,4,27.9,1,0,0,0,1
138,1,37.0,0,1,0,53.1,0,1,0,0,1
147,3,27.0,0,0,0,7.7958,0,1,0,0,1
140,1,24.0,0,0,0,79.2,0,1,1,0,0
163,3,26.0,0,0,0,7.775,0,1,0,0,1
321,3,22.0,0,0,0,7.25,0,1,0,0,1
626,1,61.0,0,0,0,32.3208,0,1,0,0,1
864,3,28.0,0,8,2,69.55,1,0,0,0,1
586,1,18.0,0,0,2,79.65,1,0,0,0,1
516,1,47.0,0,0,0,34.0208,0,1,0,0,1
214,2,30.0,0,0,0,13.0,0,1,0,0,1
512,3,28.0,0,0,0,8.05,0,1,0,0,1
802,2,31.0,0,1,1,26.25,1,0,0,0,1
841,3,20.0,0,0,0,7.925,0,1,0,0,1
721,2,6.0,0,0,1,33.0,1,0,0,0,1
51,3,7.0,0,4,1,39.6875,0,1,0,0,1
446,1,4.0,0,0,2,81.8583,0,1,0,0,1
582,1,39.0,0,1,1,110.8833,1,0,1,0,0
204,3,45.0,1,0,0,7.225,0,1,1,0,0
267,3,16.0,0,4,1,39.6875,0,1,0,0,1
409,3,21.0,0,0,0,7.775,0,1,0,0,1
758,2,18.0,0,0,0,11.5,0,1,0,0,1
245,3,30.0,0,0,0,7.225,0,1,1,0,0
540,1,22.0,0,0,2,49.5,1,0,1,0,0
207,3,32.0,0,1,0,15.85,0,1,0,0,1
463,1,47.0,0,0,0,38.5,0,1,0,0,1
674,2,31.0,0,0,0,13.0,0,1,0,0,1
740,3,28.0,0,0,0,7.8958,0,1,0,0,1
394,1,23.0,0,1,0,113.275,1,0,1,0,0
871,3,26.0,0,0,0,7.8958,0,1,0,0,1
388,2,36.0,0,0,0,13.0,1,0,0,0,1
248,2,24.0,0,0,2,14.5,1,0,0,0,1
660,1,58.0,0,0,2,113.275,0,1,1,0,0
206,3,2.0,0,0,1,10.4625,1,0,0,0,1
419,2,30.0,0,0,0,13.0,0,1,0,0,1
755,2,48.0,0,1,2,65.0,1,0,0,0,1
345,2,36.0,0,0,0,13.0,0,1,0,0,1
504,3,37.0,0,0,0,9.5875,1,0,0,0,1
769,3,28.0,0,1,0,24.15,0,1,0,1,0
502,3,21.0,0,0,0,7.75,1,0,0,1,0
65,1,28.0,0,0,0,27.7208,0,1,1,0,0
398,2,46.0,0,0,0,26.0,0,1,0,0,1
855,2,44.0,0,1,0,26.0,1,0,0,0,1
526,3,40.0,1,0,0,7.75,0,1,0,1,0
171,1,61.0,0,0,0,33.5,0,1,0,0,1
366,3,30.0,0,0,0,7.25,0,1,0,0,1
196,1,58.0,0,0,0,146.5208,1,0,1,0,0
142,3,22.0,0,0,0,7.75,1,0,0,0,1
301,3,28.0,0,0,0,7.75,1,0,0,1,0
109,3,38.0,0,0,0,7.8958,0,1,0,0,1
680,1,36.0,0,0,1,512.3292,0,1,1,0,0
120,3,2.0,0,4,2,31.275,1,0,0,0,1
599,3,28.0,0,0,0,7.225,0,1,1,0,0
803,1,11.0,0,1,2,120.0,0,1,0,0,1
863,1,48.0,0,0,0,25.9292,1,0,0,0,1
658,3,32.0,0,1,1,15.5,1,0,0,1,0
273,2,41.0,0,0,1,19.5,1,0,0,0,1
636,2,28.0,0,0,0,13.0,1,0,0,0,1
485,1,25.0,0,1,0,91.0792,0,1,1,0,0
878,3,19.0,0,0,0,7.8958,0,1,0,0,1
693,3,28.0,0,0,0,56.4958,0,1,0,0,1
73,2,21.0,0,0,0,73.5,0,1,0,0,1
836,1,39.0,0,1,1,83.1583,1,0,1,0,0
334,3,16.0,0,2,0,18.0,0,1,0,0,1
813,2,35.0,0,0,0,10.5,0,1,0,0,1
666,2,32.0,0,2,0,73.5,0,1,0,0,1
294,3,24.0,0,0,0,8.85,1,0,0,0,1
524,1,44.0,0,0,1,57.9792,1,0,1,0,0
179,2,30.0,0,0,0,13.0,0,1,0,0,1
834,3,23.0,0,0,0,7.8542,0,1,0,0,1
735,2,23.0,0,0,0,13.0,0,1,0,0,1
