,base_estimator__max_depth,base_estimator__max_features,base_estimator__min_samples_split,base_estimator__random_state,colsample_bytree,estimator,learning_rate,loss,max_depth,max_features,mean_test,mean_train,min_data_in_leaf,min_samples_split,n_estimators,n_jobs,num_leaves,oob_score,random_state,reg_alpha,std_test,std_train,subsample
8,,,,,,gbr,,,8,0.5,-14.037444915467606,-0.04132001902445944,,3,775,,,,8828,,1.1961578854998016,0.0014993432365676357,
21,,,,,0.5,xgb,0.01,,6,,-14.48957158962939,-3.0613138988908095,,,3000,-1,,,8828,0.7,0.8487765699944211,0.03735740532024296,0.7
29,,,,,,lgbm,0.01,,,,-14.500335852931874,-0.31929152119280374,5,,650,-1,800,,8828,,0.804827829240261,0.023174109903161304,0.7
9,,,,,,gbr,,,8,0.9,-14.548556398164825,-0.04788539663889492,,3,775,,,,8828,,1.299764826128897,0.004499749298913252,
6,,,,,,gbr,,,8,0.9,-14.568809669722345,-0.019815829081673068,,4,1000,,,,8828,,1.125538271524764,0.0005925302887377041,
5,,,,,,gbr,,,8,0.9,-14.624654534951626,-0.07084498304829165,,4,700,,,,8828,,1.122501403807068,0.0015533854326411167,
26,,,,,,lgbm,0.01,,,,-14.729279373638981,-1.2396042230278554,5,,500,-1,350,,8828,,0.8197187221532284,0.028546101881321593,0.7
7,,,,,,gbr,,,6,0.9,-14.803643795894073,-0.5377829480049658,,4,850,,,,8828,,1.039320007936203,0.021373825818092294,
25,,,,,,lgbm,0.1,,,,-15.027788260608865,-0.004628330524542094,5,,650,-1,350,,8828,,0.9277907140424808,0.00022807993937751396,0.7
20,,,,,0.5,xgb,0.1,,4,,-15.06481203171047,-0.2905081505876709,,,3750,-1,,,8828,0.1,0.8809727068931673,0.003756791573165856,0.5
27,,,,,,lgbm,0.01,,,,-15.598973436481607,-1.6706616343693874,5,,350,-1,650,,8828,,0.9683068307341639,0.03810839858647141,0.7
0,,sqrt,4,8828,,ada,1.0,linear,,,-15.670541252674616,-0.0630919537101987,,,350,,,,8828,,0.8389893394222303,0.0006009323313835392,
16,,,,,,etr,,,,0.7,-16.099712984214346,-0.890992558120456,,6,,,,,8828,,1.0160270897061854,0.02191997227366983,
18,,,,,,etr,,,,0.9,-16.129547706574325,-0.8049640476812734,,6,,,,,8828,,0.9190004609577557,0.03241859365524913,
13,,,,,,rf,,,,0.3,-16.868542366368604,-2.839244496927565,,4,425,-1,,False,8828,,1.2063494996754829,0.04724802120481288,
22,,,,,0.7,xgb,0.31622776601683794,,8,,-17.289153059042786,-0.00452725142258784,,,3750,-1,,,8828,0.1,1.0506302902706202,0.00018716949807763626,0.7
28,,,,,,lgbm,0.31622776601683794,,,,-18.697386156656567,-0.004562763407926786,5,,800,-1,350,,8828,,0.8320456236651903,0.00018960648626105783,0.7
23,,,,,0.7,xgb,0.31622776601683794,,8,,-19.524405289330552,-0.0047204208479786755,,,3750,-1,,,8828,0.1,1.117438013918614,0.00018843527345622314,0.5
12,,,,,,rf,,,8,0.7,-25.018583682367524,-17.617628138519123,,4,350,-1,,False,8828,,1.3933503498083788,0.3192780638208109,
11,,,,,,rf,,,8,0.3,-25.80737631019587,-18.90885943355103,,4,350,-1,,False,8828,,1.4132243955823691,0.2040823089067558,
14,,,,,,rf,,,8,0.3,-25.809607070848703,-18.725633415507218,,2,500,-1,,False,8828,,1.4639481981946605,0.21601764698741527,
2,8,sqrt,8,8828,,ada,0.31622776601683794,square,,,-27.40154666863422,-19.589951756811466,,,800,,,,8828,,1.4044837448670258,0.2504726266472068,
19,,,,,,etr,,,8,0.5,-29.677426540461244,-23.983098538439016,,6,,,,,8828,,1.4734858301271563,0.5000398061275012,
17,,,,,,etr,,,8,0.5,-29.82020511174927,-24.190289608814474,,4,,,,,8828,,1.6390865041022762,0.6204307643837718,
10,,,,,,rf,,,6,0.5,-31.317720879947633,-26.697896464389988,,2,275,-1,,False,8828,,1.2503479216908227,0.4012738098882693,
1,6,auto,2,8828,,ada,0.31622776601683794,linear,,,-32.43540799443257,-24.699828208562028,,,650,,,,8828,,0.8037705251569753,1.4745870527769216,
15,,,,,,etr,,,6,0.5,-38.406940368824124,-35.44901916923719,,4,,,,,8828,,1.9859663583824307,0.7606591157746252,
24,,,,,0.5,xgb,1.0,,4,,-41.861452095711684,-0.007463301436122579,,,3000,-1,,,8828,0.7,2.532960248845503,0.00022094458542331138,0.7
3,4,auto,4,8828,,ada,0.31622776601683794,linear,,,-55.53440207330368,-51.37693402777516,,,500,,,,8828,,2.062624116428925,3.7541632248101684,
4,4,sqrt,4,8828,,ada,0.1,exponential,,,-61.49015016997944,-58.12866992929046,,,800,,,,8828,,1.2331451211733773,1.864877724282074,
