,id,retweet_count,favorite_count
0,892420643555336193,8842,39492
1,892177421306343426,6480,33786
2,891815181378084864,4301,25445
3,891689557279858688,8925,42863
4,891327558926688256,9721,41016
5,891087950875897856,3240,20548
6,890971913173991426,2142,12053
7,890729181411237888,19548,66596
8,890609185150312448,4403,28187
9,890240255349198849,7684,32467
10,890006608113172480,7584,31127
11,889880896479866881,5116,28208
12,889665388333682689,8502,38745
13,889638837579907072,4705,27633
14,889531135344209921,2309,15329
15,889278841981685760,5635,25712
16,888917238123831296,4681,29555
17,888804989199671297,4535,26021
18,888554962724278272,3722,20267
19,888078434458587136,3637,22144
20,887705289381826560,5584,30690
21,887517139158093824,12053,46940
22,887473957103951883,18813,70007
23,887343217045368832,10713,34223
24,887101392804085760,6147,31045
25,886983233522544640,8045,35786
26,886736880519319552,3420,12286
27,886680336477933568,4597,22802
28,886366144734445568,3297,21488
29,886267009285017600,4,117
30,886258384151887873,6506,28437
31,886054160059072513,106,0
32,885984800019947520,7043,33299
33,885528943205470208,6642,36592
34,885518971528720385,3876,20739
35,885311592912609280,19188,0
36,885167619883638784,4526,22304
37,884925521741709313,19149,78881
38,884876753390489601,6042,28429
39,884562892145688576,5076,24716
40,884441805382717440,5836,27443
41,884247878851493888,21105,74192
42,884162670584377345,3099,20719
43,883838122936631299,3559,22269
44,883482846933004288,10336,46741
45,883360690899218434,3802,22932
46,883117836046086144,6900,37810
47,882992080364220416,4086,24358
48,882762694511734784,5086,28810
49,882627270321602560,6303,28327
50,882268110199369728,12013,45745
51,882045870035918850,5162,29843
52,881906580714921986,3516,24708
53,881666595344535552,11026,51390
54,881633300179243008,7,129
55,881536004380872706,16564,50326
56,881268444196462592,5328,23462
57,880935762899988482,2871,17288
58,880872448815771648,3957,21667
59,880465832366813184,6500,28997
60,880221127280381952,4398,27561
61,880095782870896641,4506,28085
62,879862464715927552,3615,22609
63,879674319642796034,10,313
64,879492040517615616,3300,23778
65,879415818425184262,45655,107834
66,879376492567855104,3239,17061
67,879130579576475649,7118,0
68,879050749262655488,4890,22978
69,879008229531029506,2793,19265
70,878776093423087618,4282,19708
71,878604707211726852,7510,30835
72,878404777348136964,1338,0
73,878316110768087041,6925,0
74,878281511006478336,1338,7890
75,878057613040115712,7118,42743
76,877736472329191424,19908,81450
77,877611172832227328,82,0
78,877556246731214848,3973,23188
79,877316821321428993,5377,27835
80,877201837425926144,5829,27661
81,876838120628539392,3493,21069
82,876537666061221889,4775,23789
83,876484053909872640,2499,19086
84,876120275196170240,4872,28392
85,875747767867523072,4478,25710
86,875144289856114688,5114,22346
87,875097192612077568,6303,27915
88,875021211251597312,4895,25948
89,874680097055178752,4825,28371
90,874434818259525634,15442,0
91,874296783580663808,4284,26563
92,874057562936811520,4107,23061
93,874012996292530176,10926,35406
94,873697596434513921,12435,0
95,873580283840344065,4110,24757
96,873337748698140672,1656,0
97,873213775632977920,1656,7435
98,872967104147763200,5632,27918
99,872820683541237760,3858,15006
100,872668790621863937,31,0
101,872620804844003328,3871,21254
102,872486979161796608,9365,41474
103,872261713294495745,6606,34982
104,872122724285648897,8493,35224
105,871879754684805121,11810,38995
106,871762521631449091,3641,20716
107,871515927908634625,3608,20687
108,871166179821445120,5956,0
109,871102520638267392,5729,21403
110,871032628920680449,3972,23174
111,870804317367881728,6348,33689
112,870726314365509632,3,120
113,870656317836468226,2798,12767
114,870374049280663552,27502,84753
115,870308999962521604,4355,22375
116,870063196459192321,8787,37660
117,869772420881756160,10580,43546
118,869702957897576449,6680,29014
119,869596645499047938,3300,16431
120,869227993411051520,4004,21052
121,868880397819494401,12435,54897
122,868639477480148993,2219,0
123,868622495443632128,6234,28165
124,868552278524837888,2219,10485
125,867900495410671616,4410,24905
126,867774946302451713,7740,35055
127,867421006826221569,2673,16683
128,867072653475098625,134,0
129,867051520902168576,8367,33289
130,866816280283807744,32705,0
131,866720684873056260,5139,20805
132,866686824827068416,3707,20002
133,866450705531457537,32705,106481
134,866334964761202691,15442,54493
135,866094527597207552,8882,0
136,865718153858494464,5975,26528
137,865359393868664832,5351,27416
138,865006731092295680,8162,28978
139,864873206498414592,9320,33537
140,864279568663928832,3251,15134
141,864197398364647424,9552,31314
142,863907417377173506,4419,21390
143,863553081350529029,4464,15875
144,863471782782697472,2664,0
145,863432100342583297,5627,24734
146,863427515083354112,105,2349
147,863079547188785154,1188,9068
148,863062471531167744,2664,8911
149,862831371563274240,5421,19946
150,862722525377298433,3782,17722
151,862457590147678208,5342,21405
152,862096992088072192,24997,77714
153,861383897657036800,11456,37599
154,861288531465048066,4465,17961
155,861005113778896900,4093,17460
156,860981674716409858,2317,0
157,860924035999428608,879,0
158,860563773140209665,2317,7841
159,860524505164394496,5664,24590
160,860276583193509888,3724,19081
161,860184849394610176,6277,17429
162,860177593139703809,33231,0
163,859924526012018688,4320,19962
164,859851578198683649,3762,16044
165,859607811541651456,1695,19391
166,859196978902773760,32589,94035
167,859074603037188101,14658,35446
168,858860390427611136,8762,0
169,858843525470990336,3746,16242
170,858471635011153920,5243,22528
171,858107933456039936,3140,16459
172,857989990357356544,2790,16883
173,857746408056729600,11452,35902
174,857393404942143489,1772,6213
175,857263160327368704,4903,20956
176,857214891891077121,20,242
177,857062103051644929,182,0
178,857029823797047296,4342,19838
179,856602993587888130,11580,0
180,856543823941562368,3113,17075
181,856526610513747968,2053,12412
182,856330835276025856,729,0
183,856288084350160898,17,540
184,856282028240666624,6818,29007
185,855862651834028034,28,354
186,855860136149123072,1092,4687
187,855857698524602368,2299,12449
188,855851453814013952,19118,47679
189,855818117272018944,5905,27952
190,855459453768019968,8946,31563
191,855245323840757760,6521,0
192,855138241867124737,50,0
193,854732716440526848,6657,24116
194,854482394044301312,7546,30979
195,854365224396361728,5123,19954
196,854120357044912130,8245,33792
197,854010172552949760,3419,17120
198,853760880890318849,6350,30306
199,853639147608842240,11198,37042
200,853299958564483072,3913,16456
201,852936405516943360,2226,0
202,852912242202992640,2024,9610
203,852672615818899456,2371,15869
204,852553447878664193,3858,17419
205,852311364735569921,10906,35201
206,852226086759018497,7530,21318
207,852189679701164033,1733,12176
208,851953902622658560,10647,0
209,851861385021730816,23,0
210,851591660324737024,3808,17240
211,851464819735769094,7803,25855
212,851224888060895234,6315,22011
213,850753642995093505,10285,33213
214,850380195714523136,2894,13946
215,850333567704068097,365,3631
216,850145622816686080,4224,17454
217,850019790995546112,5429,21874
218,849776966551130114,8366,32267
219,849668094696017920,5490,0
220,849412302885593088,3461,16978
221,849336543269576704,2088,12196
222,849051919805034497,7337,32482
223,848690551926992896,4795,26990
224,848324959059550208,4012,20143
225,848213670039564288,825,8799
226,848212111729840128,3421,17545
227,847978865427394560,3634,0
228,847971574464610304,479,0
229,847962785489326080,5700,25198
230,847842811428974592,1513,5910
231,847617282490613760,462,7523
232,847606175596138505,3756,20130
